genre,tag,count
Action,sci-fi,4
Action,superhero,4
Action,aliens,3
Action,boxing,3
Action,classic,2
Action,action,2
Action,EPIC,2
Action,Arnold Schwarzenegger,2
Action,time travel,2
Action,archaeology,2
Action,martial arts,2
Action,beautiful scenery,1
Action,epic,1
Action,historical,1
Action,inspirational,1
Action,Medieval,1
Action,mel gibson,1
Action,Oscar (Best Cinematography),1
Action,revenge,1
Action,sword fight,1
Action,space action,1
Action,great soundtrack,1
Action,classic sci-fi,1
Action,engrossing adventure,1
Action,Nerd,1
Action,assassin,1
Action,Jean Reno,1
Action,predictable,1
Action,apocalypse,1
Action,nuclear war,1
Action,Suspense,1
Action,adventure,1
Action,indiana jones,1
Action,Steven Spielberg,1
Action,treasure hunt,1
Action,horror,1
Action,space,1
Action,space craft,1
Action,SPACE TRAVEL,1
Action,suspense,1
Action,Action,1
Action,artificial intelligence,1
Action,robots,1
Action,Sci-Fi,1
Action,special effects,1
Action,tense,1
Action,crime,1
Action,Borg,1
Action,Klingons,1
Action,Captain Kirk,1
Action,Shark,1
Action,shark,1
Action,spying,1
Action,Hawkeye,1
Action,James Fennimore Cooper,1
Action,dinosaurs,1
Action,transplants,1
Action,military,1
Action,president,1
Action,Tom Clancy,1
Action,World War II,1
Action,police,1
Action,vampires,1
Action,Capone,1
Action,gangsters,1
Action,terrorism,1
Action,Australia,1
Action,twist ending,1
Action,alternate universe,1
Action,virtual reality,1
Action,prequel,1
Action,the Force,1
Action,dialogue,1
Action,guns,1
Action,Jesse Ventura,1
Action,macho,1
Action,scifi cult,1
Action,"""artsy""",1
Action,atmospheric,1
Action,gritty,1
Action,hallucinatory,1
Action,surreal,1
Action,visually stunning,1
Action,boring,1
Adventure,sci-fi,3
Adventure,classic,2
Adventure,action,2
Adventure,EPIC,2
Adventure,archaeology,2
Adventure,Disney,2
Adventure,martial arts,2
Adventure,Australia,2
Adventure,superhero,2
Adventure,fantasy,1
Adventure,magic board game,1
Adventure,Robin Williams,1
Adventure,space action,1
Adventure,great soundtrack,1
Adventure,classic sci-fi,1
Adventure,engrossing adventure,1
Adventure,Nerd,1
Adventure,british comedy,1
Adventure,Monty Python,1
Adventure,adventure,1
Adventure,indiana jones,1
Adventure,Steven Spielberg,1
Adventure,treasure hunt,1
Adventure,aliens,1
Adventure,horror,1
Adventure,space,1
Adventure,space craft,1
Adventure,SPACE TRAVEL,1
Adventure,suspense,1
Adventure,India,1
Adventure,Borg,1
Adventure,dogs,1
Adventure,remake,1
Adventure,Captain Kirk,1
Adventure,whales,1
Adventure,dinosaurs,1
Adventure,Tom Clancy,1
Adventure,amnesia,1
Adventure,Tolkein,1
Adventure,mice,1
Adventure,Pixar,1
Adventure,prequel,1
Adventure,the Force,1
Animation,Disney,3
Animation,Tolkein,1
Animation,mice,1
Animation,Pixar,1
Animation,Bible,1
Animation,Moses,1
Animation,sci-fi,1
Children,Disney,4
Children,fantasy,1
Children,magic board game,1
Children,Robin Williams,1
Children,black comedy,1
Children,Christina Ricci,1
Children,Christopher Lloyd,1
Children,dark comedy,1
Children,family,1
Children,gothic,1
Children,baseball,1
Children,dogs,1
Children,remake,1
Children,jungle,1
Children,twins,1
Children,carnival,1
Children,Ray Bradbury,1
Children,Tolkein,1
Children,mice,1
Children,Pixar,1
Children,martial arts,1
Comedy,In Netflix queue,5
Comedy,dark comedy,4
Comedy,high school,4
Comedy,Disney,3
Comedy,personals ads,2
Comedy,remake,2
Comedy,Coen Brothers,2
Comedy,slasher,2
Comedy,spoof,2
Comedy,reunion,2
Comedy,1980s,2
Comedy,Mafia,2
Comedy,Australia,2
Comedy,black comedy,1
Comedy,Christina Ricci,1
Comedy,Christopher Lloyd,1
Comedy,family,1
Comedy,gothic,1
Comedy,good dialogue,1
Comedy,great soundtrack,1
Comedy,non-linear,1
Comedy,test tag,1
Comedy,based on a book,1
Comedy,narrated,1
Comedy,music,1
Comedy,based on a true story,1
Comedy,KIDNAPPING,1
Comedy,Steve Buscemi,1
Comedy,freedom of expression,1
Comedy,british comedy,1
Comedy,Monty Python,1
Comedy,New York,1
Comedy,dogs,1
Comedy,whales,1
Comedy,spying,1
Comedy,mental illness,1
Comedy,mockumentary,1
Comedy,jungle,1
Comedy,lawyer,1
Comedy,hit men,1
Comedy,ballroom dance,1
Comedy,weddings,1
Comedy,aliens,1
Comedy,military,1
Comedy,TV,1
Comedy,sequel,1
Comedy,politics,1
Comedy,No DVD at Netflix,1
Comedy,twins,1
Comedy,mermaid,1
Comedy,weather forecaster,1
Comedy,aquarium,1
Comedy,Boston,1
Comedy,journalism,1
Comedy,In Your Eyes,1
Comedy,Lloyd Dobbler,1
